"forms_id","unit_id","gloss_id","gloss","form","source"
9750,4922,20,"word","dirūgūyi",2
9784,4941,20,"word","diɣ̌vêr",2
9785,4941,20,"word","digvêr",2
9786,4941,20,"word","riɣ̌vêr",2
9787,4942,20,"word","diɣ̌vêrak",2
9788,4942,20,"word","digvêrak",2
9789,4942,20,"word","riɣ̌vêrak",2
9804,4954,20,"word","dīdor",2
9805,4954,20,"word","dīδor",2
9818,4966,20,"word","dīndori",2
9821,4969,20,"word","dow",2
9827,4974,20,"word","dogawor",2
9828,4974,20,"word","dagawor",2
9854,4996,20,"word","dok",2
9855,4997,20,"word","dokxunā",2
9862,5004,20,"word","dori",2
9863,5005,20,"word","dori-bori",2
9878,5018,20,"word","dosrand",2
9881,5021,20,"word","dostůn",2
9908,5045,20,"word","duwul",2
9909,5045,20,"word","dūl",2
9910,5045,20,"word","duhul",2
9952,5081,20,"word","dumburā",2
9971,5097,20,"word","duob",2
9982,5105,20,"word","dupečā",2
9987,5110,20,"word","dur",2
9990,5113,20,"word","durdůnā",2
9992,5115,20,"word","durrā",2
10004,5125,20,"word","dutor",2
10014,5134,20,"word","duxturi",2
10015,5135,20,"word","duxturxůnā",2
10030,5149,20,"word","duqqat",2
10031,5149,20,"word","duqat",2
10053,5169,20,"word","dūkůn",2
10066,5179,20,"word","dūrbīn",2
10087,5192,20,"word","dūstdori",2
10088,5193,20,"word","dūsti",2
10095,5199,20,"word","důlak",2
10096,5200,20,"word","dům",2
10098,5202,20,"word","důmanā",2
10099,5203,20,"word","důmān",2
10139,5226,20,"word","důnix̌",2
10140,5226,20,"word","důniš",2
10149,5232,20,"word","důr",2
10150,5233,20,"word","důɣovi",2
10151,5233,20,"word","důɣobi",2
10176,5251,20,"word","δāδīn",2
10183,5258,20,"word","δew-max̌ak",2
10184,5259,20,"word","δew-rivandak",2
10185,5259,20,"word","δew-rivand",2
10186,5260,20,"word","δew-spafīǰak",2
10188,5262,20,"word","δêd",2
10196,5270,20,"word","δêrv",2
10203,5274,20,"word","δêsak",2
10205,5276,20,"word","δêɣ̌",2
10206,5276,20,"word","δêɣ̌d",2
10207,5276,20,"word","δêɣ̌g",2
10226,5288,20,"word","δindůn",2
10236,5294,20,"word","δindůn-ziri",2
10244,5298,20,"word","δix̌t",2
10245,5299,20,"word","δīd",2
10254,5305,20,"word","δīdǰīc",2
